n_cliques,c_max,m1,m2,m3,sbar,degeneracy,family,tau,kbar_target,n,seed,kbar,secs
1185,3,1.8278481012658228,3.572995780590717,7.331645569620253,0.9547553093259464,3,config,2.5,2.0,1000,1,1.976,0.03
790,7,1.877215189873418,4.436708860759494,12.753164556962023,1.3634524612272423,6,hrg,2.5,2.0,1000,2,1.702,0.08
1127,3,1.7320319432120672,3.251109139307897,6.45430346051464,0.8770491803278688,3,config,2.5,2.0,1000,2,1.676,0.08
781,6,2.0435339308578744,5.229193341869399,15.979513444302176,1.55889724310777,5,hrg,2.5,2.0,1000,3,1.994,0.09
1208,3,1.8096026490066224,3.5082781456953644,7.144039735099337,0.9387008234217753,3,config,2.5,2.0,1000,3,1.954,0.09
2439,8,2.035670356703567,5.443624436244363,18.503075030750306,1.6741188318227596,7,hrg,2.5,2.0,3000,1,1.9973333333333334,0.47
3646,6,1.8049917718047175,3.5581459133296764,7.549917718047175,0.9712809603403738,5,config,2.5,2.0,3000,1,1.9446666666666668,0.48
2323,8,2.0279810589754628,5.207490314248816,16.29057253551442,1.567819995754617,7,hrg,2.5,2.0,3000,2,1.9886666666666666,0.07
3723,3,1.788074133763094,3.398603276927209,6.722804190169218,0.9007060237344151,3,config,2.5,2.0,3000,2,1.978,0.08
2395,6,1.893945720250522,4.539457202505219,13.20250521920668,1.3968253968253967,5,hrg,2.5,2.0,3000,3,1.752,0.15
3553,4,1.7289614410357446,3.2172811708415425,6.290177314945117,0.8608171902979,3,config,2.5,2.0,3000,3,1.74,0.15
7868,9,2.0353329944077276,5.271479410269445,16.628876461616677,1.5899837642063193,8,hrg,2.5,2.0,10000,1,2.0056,0.14
12539,5,1.7919291809554192,3.4298588404178965,6.879416221389266,0.9140593706885043,4,config,2.5,2.0,10000,1,1.9858,0.18
8082,8,2.038604305864885,5.348923533778767,17.528582034149963,1.6238164603058993,8,hrg,2.5,2.0,10000,2,2.018,0.05
12507,5,1.802750459742544,3.5008395298632764,7.205005197089631,0.9419434958087549,5,config,2.5,2.0,10000,2,1.9938,0.08
